experiment_id,run_id,timestep,time_minutes,worker_id,worker_role,heart_rate,skin_temperature,spo2,accelerometer_magnitude,approximate_location,activity_level,simulated_event_type,is_critical_event,risk_score,generated_alert,recommendation,effective_threshold,communication_latency_ms,processing_latency_ms,total_latency_ms,packet_loss,energy_consumption_mj,computational_load,local_processing_ratio,external_transmission_ratio,privacy_exposure_score,security_risk_score,transparency_score,explainability_available,unauthorized_access_probability,unauthorized_access,data_tampering_probability,data_tampered,attack_propagation_risk,dete4cpes_overhead_ms,applied_dest_effects
EXP_20260507_150945_91d5a4,1,0,0.0,1,nurse,91.384,37.259,96.303,1.423,Ward-B-zone,0.537,none,False,0.1341,False,none,0.5,51.71,45.939,97.649,False,0.23832,0.8,0.8,0.22165,0.09,0.0,0.81,True,0.02625,False,0.01375,False,0.234,38.5,Data obfuscation: coarsened location; privacy exposure -0.14; Noise injection: added controlled signal noise; privacy exposure -0.11; Encryption: encrypted payloads; latency +8 ms; energy +0.045 mJ; Differential privacy: added risk-score privacy noise; privacy exposure -0.16; Object-related service restrictions: restricted location stream; external data ratio reduced; Transport Layer Security: reduced tampering probability; latency +6 ms; Identity management framework: reduced unauthorized access probability; processing +2 ms; Private intranet: shifted processing locally; external data and packet loss reduced; Secure local network connection: lowered packet loss and latency variability; Decentralized segmentation: segmented communication zones; propagation risk reduced; Virtual objects: sensor and actuator abstractions enabled; Partial dependence plot: feature sensitivity explanation available; Offline pre-processor: preprocessed signals; quality +0.10; latency +6 ms; Online white-box optimizer: kept threshold stable
EXP_20260507_150945_91d5a4,1,0,0.0,2,technician,86.191,36.838,95.984,0.953,Surgery-zone,0.215,none,False,0.0198,False,none,0.5,56.186,43.862,100.049,False,0.23832,0.8,0.8,0.22165,0.09,0.0,0.81,True,0.02625,False,0.01375,False,0.234,38.5,Data obfuscation: coarsened location; privacy exposure -0.14; Noise injection: added controlled signal noise; privacy exposure -0.11; Encryption: encrypted payloads; latency +8 ms; energy +0.045 mJ; Differential privacy: added risk-score privacy noise; privacy exposure -0.16; Object-related service restrictions: restricted location stream; external data ratio reduced; Transport Layer Security: reduced tampering probability; latency +6 ms; Identity management framework: reduced unauthorized access probability; processing +2 ms; Private intranet: shifted processing locally; external data and packet loss reduced; Secure local network connection: lowered packet loss and latency variability; Decentralized segmentation: segmented communication zones; propagation risk reduced; Virtual objects: sensor and actuator abstractions enabled; Partial dependence plot: feature sensitivity explanation available; Offline pre-processor: preprocessed signals; quality +0.10; latency +6 ms; Online white-box optimizer: kept threshold stable
EXP_20260507_150945_91d5a4,1,0,0.0,3,technician,91.168,37.331,95.513,0.971,Radiology-zone,0.347,none,False,0.049,False,none,0.5,52.771,45.672,98.443,False,0.23832,0.8,0.8,0.22165,0.09,0.0,0.81,True,0.02625,False,0.01375,False,0.234,38.5,Data obfuscation: coarsened location; privacy exposure -0.14; Noise injection: added controlled signal noise; privacy exposure -0.11; Encryption: encrypted payloads; latency +8 ms; energy +0.045 mJ; Differential privacy: added risk-score privacy noise; privacy exposure -0.16; Object-related service restrictions: restricted location stream; external data ratio reduced; Transport Layer Security: reduced tampering probability; latency +6 ms; Identity management framework: reduced unauthorized access probability; processing +2 ms; Private intranet: shifted processing locally; external data and packet loss reduced; Secure local network connection: lowered packet loss and latency variability; Decentralized segmentation: segmented communication zones; propagation risk reduced; Virtual objects: sensor and actuator abstractions enabled; Partial dependence plot: feature sensitivity explanation available; Offline pre-processor: preprocessed signals; quality +0.10; latency +6 ms; Online white-box optimizer: kept threshold stable
EXP_20260507_150945_91d5a4,1,0,0.0,4,physician,94.991,37.083,97.146,0.653,Emergency-zone,0.196,none,False,0.0478,False,none,0.5,55.625,42.29,97.915,False,0.23832,0.8,0.8,0.22165,0.09,0.0,0.81,True,0.02625,False,0.01375,False,0.234,38.5,Data obfuscation: coarsened location; privacy exposure -0.14; Noise injection: added controlled signal noise; privacy exposure -0.11; Encryption: encrypted payloads; latency +8 ms; energy +0.045 mJ; Differential privacy: added risk-score privacy noise; privacy exposure -0.16; Object-related service restrictions: restricted location stream; external data ratio reduced; Transport Layer Security: reduced tampering probability; latency +6 ms; Identity management framework: reduced unauthorized access probability; processing +2 ms; Private intranet: shifted processing locally; external data and packet loss reduced; Secure local network connection: lowered packet loss and latency variability; Decentralized segmentation: segmented communication zones; propagation risk reduced; Virtual objects: sensor and actuator abstractions enabled; Partial dependence plot: feature sensitivity explanation available; Offline pre-processor: preprocessed signals; quality +0.10; latency +6 ms; Online white-box optimizer: kept threshold stable
EXP_20260507_150945_91d5a4,1,0,0.0,5,physician,94.178,36.818,95.312,2.194,Laboratory-zone,0.686,none,False,0.1633,False,none,0.5,50.65,46.028,96.678,False,0.23832,0.8,0.8,0.22165,0.09,0.0,0.81,True,0.02625,False,0.01375,False,0.234,38.5,Data obfuscation: coarsened location; privacy exposure -0.14; Noise injection: added controlled signal noise; privacy exposure -0.11; Encryption: encrypted payloads; latency +8 ms; energy +0.045 mJ; Differential privacy: added risk-score privacy noise; privacy exposure -0.16; Object-related service restrictions: restricted location stream; external data ratio reduced; Transport Layer Security: reduced tampering probability; latency +6 ms; Identity management framework: reduced unauthorized access probability; processing +2 ms; Private intranet: shifted processing locally; external data and packet loss reduced; Secure local network connection: lowered packet loss and latency variability; Decentralized segmentation: segmented communication zones; propagation risk reduced; Virtual objects: sensor and actuator abstractions enabled; Partial dependence plot: feature sensitivity explanation available; Offline pre-processor: preprocessed signals; quality +0.10; latency +6 ms; Online white-box optimizer: kept threshold stable
EXP_20260507_150945_91d5a4,1,0,0.0,6,technician,98.276,37.387,96.982,1.106,Surgery-zone,0.51,none,False,0.1365,False,none,0.5,49.957,43.341,93.298,False,0.23832,0.8,0.8,0.22165,0.09,0.0,0.81,True,0.02625,False,0.01375,False,0.234,38.5,Data obfuscation: coarsened location; privacy exposure -0.14; Noise injection: added controlled signal noise; privacy exposure -0.11; Encryption: encrypted payloads; latency +8 ms; energy +0.045 mJ; Differential privacy: added risk-score privacy noise; privacy exposure -0.16; Object-related service restrictions: restricted location stream; external data ratio reduced; Transport Layer Security: reduced tampering probability; latency +6 ms; Identity management framework: reduced unauthorized access probability; processing +2 ms; Private intranet: shifted processing locally; external data and packet loss reduced; Secure local network connection: lowered packet loss and latency variability; Decentralized segmentation: segmented communication zones; propagation risk reduced; Virtual objects: sensor and actuator abstractions enabled; Partial dependence plot: feature sensitivity explanation available; Offline pre-processor: preprocessed signals; quality +0.10; latency +6 ms; Online white-box optimizer: kept threshold stable
EXP_20260507_150945_91d5a4,1,0,0.0,7,cleaning_staff,92.198,36.81,95.531,1.657,Emergency-zone,0.562,none,False,0.0763,False,none,0.5,51.434,39.449,90.883,False,0.23832,0.8,0.8,0.22165,0.09,0.0,0.81,True,0.02625,False,0.01375,False,0.234,38.5,Data obfuscation: coarsened location; privacy exposure -0.14; Noise injection: added controlled signal noise; privacy exposure -0.11; Encryption: encrypted payloads; latency +8 ms; energy +0.045 mJ; Differential privacy: added risk-score privacy noise; privacy exposure -0.16; Object-related service restrictions: restricted location stream; external data ratio reduced; Transport Layer Security: reduced tampering probability; latency +6 ms; Identity management framework: reduced unauthorized access probability; processing +2 ms; Private intranet: shifted processing locally; external data and packet loss reduced; Secure local network connection: lowered packet loss and latency variability; Decentralized segmentation: segmented communication zones; propagation risk reduced; Virtual objects: sensor and actuator abstractions enabled; Partial dependence plot: feature sensitivity explanation available; Offline pre-processor: preprocessed signals; quality +0.10; latency +6 ms; Online white-box optimizer: kept threshold stable
EXP_20260507_150945_91d5a4,1,0,0.0,8,porter,94.082,36.965,96.232,1.241,Emergency-zone,0.521,none,False,0.1164,False,none,0.5,45.366,44.582,89.948,False,0.23832,0.8,0.8,0.22165,0.09,0.0,0.81,True,0.02625,False,0.01375,False,0.234,38.5,Data obfuscation: coarsened location; privacy exposure -0.14; Noise injection: added controlled signal noise; privacy exposure -0.11; Encryption: encrypted payloads; latency +8 ms; energy +0.045 mJ; Differential privacy: added risk-score privacy noise; privacy exposure -0.16; Object-related service restrictions: restricted location stream; external data ratio reduced; Transport Layer Security: reduced tampering probability; latency +6 ms; Identity management framework: reduced unauthorized access probability; processing +2 ms; Private intranet: shifted processing locally; external data and packet loss reduced; Secure local network connection: lowered packet loss and latency variability; Decentralized segmentation: segmented communication zones; propagation risk reduced; Virtual objects: sensor and actuator abstractions enabled; Partial dependence plot: feature sensitivity explanation available; Offline pre-processor: preprocessed signals; quality +0.10; latency +6 ms; Online white-box optimizer: kept threshold stable
EXP_20260507_150945_91d5a4,1,1,1.0,1,nurse,98.622,37.435,96.438,1.907,Radiology-zone,0.812,none,False,0.2229,False,none,0.5,46.856,44.332,91.188,False,0.23832,0.8,0.8,0.22165,0.09,0.0,0.81,True,0.02625,False,0.01375,False,0.234,38.5,Data obfuscation: coarsened location; privacy exposure -0.14; Noise injection: added controlled signal noise; privacy exposure -0.11; Encryption: encrypted payloads; latency +8 ms; energy +0.045 mJ; Differential privacy: added risk-score privacy noise; privacy exposure -0.16; Object-related service restrictions: restricted location stream; external data ratio reduced; Transport Layer Security: reduced tampering probability; latency +6 ms; Identity management framework: reduced unauthorized access probability; processing +2 ms; Private intranet: shifted processing locally; external data and packet loss reduced; Secure local network connection: lowered packet loss and latency variability; Decentralized segmentation: segmented communication zones; propagation risk reduced; Virtual objects: sensor and actuator abstractions enabled; Partial dependence plot: feature sensitivity explanation available; Offline pre-processor: preprocessed signals; quality +0.10; latency +6 ms; Online white-box optimizer: kept threshold stable
EXP_20260507_150945_91d5a4,1,1,1.0,2,technician,86.185,36.875,96.264,1.009,Surgery-zone,0.209,none,False,0.0535,False,none,0.5,54.724,43.584,98.308,False,0.23832,0.8,0.8,0.22165,0.09,0.0,0.81,True,0.02625,False,0.01375,False,0.234,38.5,Data obfuscation: coarsened location; privacy exposure -0.14; Noise injection: added controlled signal noise; privacy exposure -0.11; Encryption: encrypted payloads; latency +8 ms; energy +0.045 mJ; Differential privacy: added risk-score privacy noise; privacy exposure -0.16; Object-related service restrictions: restricted location stream; external data ratio reduced; Transport Layer Security: reduced tampering probability; latency +6 ms; Identity management framework: reduced unauthorized access probability; processing +2 ms; Private intranet: shifted processing locally; external data and packet loss reduced; Secure local network connection: lowered packet loss and latency variability; Decentralized segmentation: segmented communication zones; propagation risk reduced; Virtual objects: sensor and actuator abstractions enabled; Partial dependence plot: feature sensitivity explanation available; Offline pre-processor: preprocessed signals; quality +0.10; latency +6 ms; Online white-box optimizer: kept threshold stable
EXP_20260507_150945_91d5a4,1,1,1.0,3,technician,99.111,37.467,95.273,1.262,Radiology-zone,0.624,none,False,0.169,False,none,0.5,51.087,39.967,91.054,False,0.23832,0.8,0.8,0.22165,0.09,0.0,0.81,True,0.02625,False,0.01375,False,0.234,38.5,Data obfuscation: coarsened location; privacy exposure -0.14; Noise injection: added controlled signal noise; privacy exposure -0.11; Encryption: encrypted payloads; latency +8 ms; energy +0.045 mJ; Differential privacy: added risk-score privacy noise; privacy exposure -0.16; Object-related service restrictions: restricted location stream; external data ratio reduced; Transport Layer Security: reduced tampering probability; latency +6 ms; Identity management framework: reduced unauthorized access probability; processing +2 ms; Private intranet: shifted processing locally; external data and packet loss reduced; Secure local network connection: lowered packet loss and latency variability; Decentralized segmentation: segmented communication zones; propagation risk reduced; Virtual objects: sensor and actuator abstractions enabled; Partial dependence plot: feature sensitivity explanation available; Offline pre-processor: preprocessed signals; quality +0.10; latency +6 ms; Online white-box optimizer: kept threshold stable
